network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,p_connection_1
9,5,12,0,2,0,2,28,41,42,5,0.15
9,5,12,0,2,0,2,28,39,40,6,0.15
9,5,12,0,2,0,2,28,38,40,7,0.15
9,5,12,0,2,0,2,28,41,40,8,0.15
9,5,12,0,2,0,2,28,42,41,9,0.15
9,5,12,0,2,0,2,28,42,40,10,0.15
10,8,13,1,2,1,2,52,52,52,0,0.15
10,8,13,1,2,1,2,52,66,66,1,0.15
10,8,13,1,2,1,2,52,66,66,2,0.15
10,8,13,1,2,1,2,52,66,66,3,0.15
10,8,13,1,2,1,2,52,66,66,4,0.15
10,8,13,1,2,1,2,52,66,66,5,0.15
10,8,13,1,2,1,2,52,66,66,6,0.15
10,8,13,1,2,1,2,52,66,66,7,0.15
10,8,13,1,2,1,2,52,66,66,8,0.15
10,8,13,1,2,1,2,52,66,66,9,0.15
10,8,13,1,2,1,2,52,66,66,10,0.15
11,3,2,0,0,0,0,8,8,8,0,0.15
11,3,2,0,0,0,0,8,10,12,1,0.15
11,3,2,0,0,0,0,8,10,12,2,0.15
11,3,2,0,0,0,0,8,10,11,3,0.15
11,3,2,0,0,0,0,8,11,12,4,0.15
11,3,2,0,0,0,0,8,13,14,5,0.15
11,3,2,0,0,0,0,8,13,12,6,0.15
11,3,2,0,0,0,0,8,11,12,7,0.15
11,3,2,0,0,0,0,8,12,10,8,0.15
11,3,2,0,0,0,0,8,13,11,9,0.15
11,3,2,0,0,0,0,8,13,13,10,0.15
12,7,4,3,0,3,0,41,41,41,0,0.15
12,7,4,3,0,3,0,41,55,54,1,0.15
12,7,4,3,0,3,0,41,58,58,2,0.15
12,7,4,3,0,3,0,41,58,59,3,0.15
12,7,4,3,0,3,0,41,57,60,4,0.15
12,7,4,3,0,3,0,41,57,61,5,0.15
12,7,4,3,0,3,0,41,58,59,6,0.15
12,7,4,3,0,3,0,41,59,60,7,0.15
12,7,4,3,0,3,0,41,58,60,8,0.15
12,7,4,3,0,3,0,41,55,63,9,0.15
12,7,4,3,0,3,0,41,57,61,10,0.15
13,10,12,1,2,1,2,60,60,60,0,0.15
13,10,12,1,2,1,2,60,66,66,1,0.15
13,10,12,1,2,1,2,60,66,66,2,0.15
13,10,12,1,2,1,2,60,66,66,3,0.15
13,10,12,1,2,1,2,60,66,66,4,0.15
13,10,12,1,2,1,2,60,66,66,5,0.15
13,10,12,1,2,1,2,60,66,66,6,0.15
13,10,12,1,2,1,2,60,66,66,7,0.15
13,10,12,1,2,1,2,60,66,66,8,0.15
13,10,12,1,2,1,2,60,66,66,9,0.15
13,10,12,1,2,1,2,60,66,66,10,0.15
14,3,11,0,2,0,2,10,10,10,0,0.15
14,3,11,0,2,0,2,10,14,10,1,0.15
14,3,11,0,2,0,2,10,16,13,2,0.15
14,3,11,0,2,0,2,10,15,16,3,0.15
14,3,11,0,2,0,2,10,15,15,4,0.15
14,3,11,0,2,0,2,10,12,14,5,0.15
14,3,11,0,2,0,2,10,14,14,6,0.15
14,3,11,0,2,0,2,10,15,15,7,0.15
14,3,11,0,2,0,2,10,15,16,8,0.15
14,3,11,0,2,0,2,10,16,15,9,0.15
14,3,11,0,2,0,2,10,16,15,10,0.15
15,10,10,1,3,1,3,62,62,62,0,0.15
15,10,10,1,3,1,3,62,66,66,1,0.15
15,10,10,1,3,1,3,62,66,66,2,0.15
15,10,10,1,3,1,3,62,66,66,3,0.15
15,10,10,1,3,1,3,62,66,66,4,0.15
15,10,10,1,3,1,3,62,66,66,5,0.15
15,10,10,1,3,1,3,62,66,66,6,0.15
15,10,10,1,3,1,3,62,66,66,7,0.15
15,10,10,1,3,1,3,62,66,66,8,0.15
15,10,10,1,3,1,3,62,66,66,9,0.15
15,10,10,1,3,1,3,62,66,66,10,0.15
16,6,8,1,0,1,0,36,36,36,0,0.15
16,6,8,1,0,1,0,36,48,47,1,0.15
16,6,8,1,0,1,0,36,51,50,2,0.15
16,6,8,1,0,1,0,36,51,51,3,0.15
16,6,8,1,0,1,0,36,52,52,4,0.15
16,6,8,1,0,1,0,36,51,50,5,0.15
16,6,8,1,0,1,0,36,52,53,6,0.15
16,6,8,1,0,1,0,36,52,53,7,0.15
16,6,8,1,0,1,0,36,53,52,8,0.15
16,6,8,1,0,1,0,36,54,55,9,0.15
16,6,8,1,0,1,0,36,53,54,10,0.15
17,8,11,1,0,1,0,49,49,49,0,0.15
17,8,11,1,0,1,0,49,63,65,1,0.15
17,8,11,1,0,1,0,49,66,66,2,0.15
17,8,11,1,0,1,0,49,66,66,3,0.15
17,8,11,1,0,1,0,49,66,66,4,0.15
17,8,11,1,0,1,0,49,66,66,5,0.15
17,8,11,1,0,1,0,49,66,66,6,0.15
17,8,11,1,0,1,0,49,66,66,7,0.15
17,8,11,1,0,1,0,49,66,66,8,0.15
17,8,11,1,0,1,0,49,66,66,9,0.15
17,8,11,1,0,1,0,49,66,66,10,0.15
18,10,6,2,1,2,1,59,59,59,0,0.15
18,10,6,2,1,2,1,59,66,66,1,0.15
18,10,6,2,1,2,1,59,66,66,2,0.15
18,10,6,2,1,2,1,59,66,66,3,0.15
18,10,6,2,1,2,1,59,66,66,4,0.15
18,10,6,2,1,2,1,59,66,66,5,0.15
18,10,6,2,1,2,1,59,66,66,6,0.15
18,10,6,2,1,2,1,59,66,66,7,0.15
18,10,6,2,1,2,1,59,66,66,8,0.15
18,10,6,2,1,2,1,59,66,66,9,0.15
18,10,6,2,1,2,1,59,66,66,10,0.15
19,7,6,2,0,2,0,39,39,39,0,0.15
19,7,6,2,0,2,0,39,52,52,1,0.15
19,7,6,2,0,2,0,39,55,56,2,0.15
19,7,6,2,0,2,0,39,56,56,3,0.15
19,7,6,2,0,2,0,39,58,58,4,0.15
19,7,6,2,0,2,0,39,56,58,5,0.15
19,7,6,2,0,2,0,39,54,57,6,0.15
19,7,6,2,0,2,0,39,55,56,7,0.15
19,7,6,2,0,2,0,39,56,57,8,0.15
19,7,6,2,0,2,0,39,56,57,9,0.15
19,7,6,2,0,2,0,39,57,56,10,0.15
20,10,4,1,0,1,0,59,59,59,0,0.15
20,10,4,1,0,1,0,59,66,66,1,0.15
20,10,4,1,0,1,0,59,66,66,2,0.15
20,10,4,1,0,1,0,59,66,66,3,0.15
20,10,4,1,0,1,0,59,66,66,4,0.15
20,10,4,1,0,1,0,59,66,66,5,0.15
20,10,4,1,0,1,0,59,66,66,6,0.15
20,10,4,1,0,1,0,59,66,66,7,0.15
20,10,4,1,0,1,0,59,66,66,8,0.15
20,10,4,1,0,1,0,59,66,66,9,0.15
20,10,4,1,0,1,0,59,66,66,10,0.15
21,4,11,1,2,1,2,20,20,20,0,0.15
21,4,11,1,2,1,2,20,25,26,1,0.15
21,4,11,1,2,1,2,20,27,29,2,0.15
21,4,11,1,2,1,2,20,29,31,3,0.15
21,4,11,1,2,1,2,20,30,29,4,0.15
21,4,11,1,2,1,2,20,28,29,5,0.15
21,4,11,1,2,1,2,20,28,30,6,0.15
21,4,11,1,2,1,2,20,30,29,7,0.15
21,4,11,1,2,1,2,20,29,31,8,0.15
21,4,11,1,2,1,2,20,27,30,9,0.15
21,4,11,1,2,1,2,20,30,28,10,0.15
22,8,5,0,0,0,0,51,51,51,0,0.15
22,8,5,0,0,0,0,51,66,66,1,0.15
22,8,5,0,0,0,0,51,66,66,2,0.15
22,8,5,0,0,0,0,51,66,66,3,0.15
22,8,5,0,0,0,0,51,66,66,4,0.15
22,8,5,0,0,0,0,51,66,66,5,0.15
22,8,5,0,0,0,0,51,66,66,6,0.15
22,8,5,0,0,0,0,51,66,66,7,0.15
22,8,5,0,0,0,0,51,66,66,8,0.15
22,8,5,0,0,0,0,51,66,66,9,0.15
22,8,5,0,0,0,0,51,66,66,10,0.15
23,2,10,0,0,0,0,2,2,2,0,0.15
23,2,10,0,0,0,0,2,1,3,1,0.15
23,2,10,0,0,0,0,2,3,3,2,0.15
23,2,10,0,0,0,0,2,4,2,3,0.15
23,2,10,0,0,0,0,2,4,1,4,0.15
23,2,10,0,0,0,0,2,5,1,5,0.15
23,2,10,0,0,0,0,2,4,1,6,0.15
23,2,10,0,0,0,0,2,4,1,7,0.15
23,2,10,0,0,0,0,2,2,3,8,0.15
23,2,10,0,0,0,0,2,3,3,9,0.15
23,2,10,0,0,0,0,2,5,2,10,0.15
24,5,5,0,1,0,1,25,25,25,0,0.15
